feature,gain
EXT_SOURCE_3,716305.1687495708
EXT_SOURCE_2,607640.9194221497
EXT_SOURCE_1,231163.62086105347
CREDIT_TERM,189693.0026473999
INST_IS_LATE_MEAN,85815.13404464722
DAYS_EMPLOYED,79648.18528938293
PREV_REFUSAL_RATE,65960.75959396362
YEARS_EMPLOYED,61419.83039665222
AMT_ANNUITY,60720.461517333984
AMT_GOODS_PRICE,51319.4633808136
PREV_CNT_PAYMENT_MEAN,49572.02388000488
DAYS_BIRTH,49448.88686180115
OWN_CAR_AGE,45949.63772392273
NAME_EDUCATION_TYPE_Higher_education,45642.36961746216
BUREAU_DAYS_CREDIT_MAX,43751.383922576904
PREV_AMT_DOWN_PAYMENT_SUM,41274.15935897827
BUREAU_DAYS_CREDIT_MEAN,41271.68278121948
INST_AMT_INSTALMENT_MIN,40702.17356681824
YEARS_BIRTH,39813.25828742981
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,37335.788385391235
AMT_CREDIT,33517.15641403198
INST_AMT_PAYMENT_MIN,33377.80448913574
INST_AMT_PAYMENT_SUM,33063.34847640991
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,32493.708656311035
CODE_GENDER_M,32186.966203689575
ANNUITY_INCOME_RATIO,30101.268392562866
BUREAU_DAYS_CREDIT_ENDDATE_MAX,30096.02251434326
PREV_CNT_PAYMENT_MAX,29618.449893951416
INST_LATE_RATE,29252.621673583984
CODE_GENDER_F,28614.99768638611
INST_PAYMENT_DIFF_MEAN,28512.169078826904
BUREAU_AMT_CREDIT_SUM_MEAN,28481.02777481079
INST_DAYS_LATE_MAX,24835.836017608643
DAYS_LAST_PHONE_CHANGE,24273.26434135437
BUREAU_AMT_CREDIT_SUM_MAX,24254.0966796875
INST_DAYS_INSTALMENT_MIN,23348.67206954956
BUREAU_ACTIVE_COUNT,22028.87713623047
PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,21907.712532043457
INST_DAYS_ENTRY_PAYMENT_MAX,21240.367769241333
CREDIT_INCOME_RATIO,21143.87134552002
INST_DAYS_LATE_SUM,19949.752923965454
FLAG_DOCUMENT_3,19724.05300140381
INST_DAYS_ENTRY_PAYMENT_MIN,19442.88694000244
BUREAU_DAYS_ENDDATE_FACT_MAX,19167.88790512085
PREV_AMT_DOWN_PAYMENT_MAX,18360.13048362732
DAYS_ID_PUBLISH,18184.267122268677
YEARS_ID_PUBLISH,17584.326484680176
PREV_DAYS_FIRST_DRAWING_SUM,17376.9609375
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,17111.553310394287
INST_NUM_INSTALMENT_VERSION_SUM,17066.05239868164
REGION_POPULATION_RELATIVE,16608.61750793457
INST_AMT_INSTALMENT_MAX,16376.34628868103
NAME_EDUCATION_TYPE_Secondary_/_secondary_special,16298.932762145996
PREV_SELLERPLACE_AREA_MEAN,16112.352113723755
NAME_FAMILY_STATUS_Married,16040.683851242065
INST_AMT_PAYMENT_MEAN,15938.751403808594
INST_AMT_INSTALMENT_SUM,15898.55627822876
BUREAU_AMT_CREDIT_SUM_MIN,15800.303693771362
INST_DAYS_LATE_MEAN,15776.712530136108
PREV_AMT_ANNUITY_MEAN,15103.07441329956
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,14914.975452423096
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,14590.331983566284
PREV_RATE_DOWN_PAYMENT_SUM,14420.649677276611
INST_NUM_INSTALMENT_VERSION_MEAN,14179.939611434937
REGION_RATING_CLIENT_W_CITY,14053.323417663574
INST_PAYMENT_DIFF_MAX,13902.09294128418
BUREAU_DAYS_CREDIT_UPDATE_MEAN,13829.544631958008
PREV_AMT_ANNUITY_MIN,13815.706560134888
INST_DAYS_INSTALMENT_MAX,13808.968891143799
NAME_CONTRACT_TYPE_Cash_loans,13718.244026184082
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,13605.361734390259
INST_AMT_PAYMENT_MAX,13345.7317237854
DAYS_REGISTRATION,12911.984350204468
INST_PAYMENT_DIFF_SUM,12801.079761505127
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,12467.30941772461
INST_DAYS_LATE_MIN,12431.475242614746
BUREAU_DAYS_CREDIT_ENDDATE_SUM,12297.493793487549
BUREAU_DAYS_CREDIT_UPDATE_MAX,12211.560646057129
